x,y,r
N_INDEX_CDLNLCD11_PCT_WS,N_INDEX2_CDLNLCD11_PCT_WS,0.9222245980443512
N_INDEX_CDLNLCD11_PCT_WS,PCT_FOREST_REMAIN,0.49309586857132764
N_INDEX_CDLNLCD11_PCT_WS,elevation,0.3880089277149102
N_INDEX_CDLNLCD11_PCT_WS,daylen_hr,0.18522280620343148
N_INDEX_CDLNLCD11_PCT_WS,PCT_WETLANDS_REMAINING,0.4987855055742571
N_INDEX_CDLNLCD11_PCT_WS,spei24,0.2652591490881798
N_INDEX_CDLNLCD11_PCT_WS,tmin_noaa,0.1361880236676061
N_INDEX_CDLNLCD11_PCT_WS,tmax_noaa,0.1595708229605892
N_INDEX_CDLNLCD11_PCT_WS,N_INDEX2_CDLNLCD11_PCT_HAZ,0.3584012243148471
N_INDEX_CDLNLCD11_PCT_WS,pmdi_noaa,0.08803139801206081
N_INDEX_CDLNLCD11_PCT_WS,pdsi_noaa,0.09001956264804477
N_INDEX_CDLNLCD11_PCT_WS,phdi_noaa,0.03190504303016554
N_INDEX_CDLNLCD11_PCT_WS,N_INDEX_CDLNLCD11_PCT_HAZ,0.28936234941535627
N_INDEX_CDLNLCD11_PCT_WS,DASYMETRIC_POPULATION_DEN_RZ,0.05986094235566507
N_INDEX_CDLNLCD11_PCT_WS,NRSA_AQUATIC_COND_MEAN,0.32961382015613905
N_INDEX_CDLNLCD11_PCT_WS,latitude_dd,0.026442710601257722
N_INDEX_CDLNLCD11_PCT_WS,DAM_DENSITY_PER_KM_STRM,0.06912014203179175
N_INDEX_CDLNLCD11_PCT_WS,ROADS_ALL_DENSITY_2014_RZ,-0.16655696337862178
N_INDEX_CDLNLCD11_PCT_WS,spei12,-0.008922462823817657
N_INDEX_CDLNLCD11_PCT_WS,longitude_dd,0.2055231033805712
N_INDEX_CDLNLCD11_PCT_WS,MEAN_WILDFIRE_RISK,0.15928378160677215
N_INDEX_CDLNLCD11_PCT_WS,HVH_WILDFIRE_RISK_PCT,0.21752074317408632
N_INDEX_CDLNLCD11_PCT_WS,ECOREGION2013L3_1STCODE,-0.13706026707232935
N_INDEX_CDLNLCD11_PCT_WS,ROAD_2015_STRM_X_DENS_WS,-0.31987017340613494
N_INDEX_CDLNLCD11_PCT_WS,capt_yr,-0.02443672354876261
N_INDEX_CDLNLCD11_PCT_WS,pcpn_noaa,-0.05309230152274628
N_INDEX_CDLNLCD11_PCT_WS,capt_mon,-0.0859091284217959
N_INDEX_CDLNLCD11_PCT_WS,DOM_H2O_USE_MGD_2005_WS,-0.25126741614659237
N_INDEX_CDLNLCD11_PCT_WS,DASYMETRIC_POPULATION_DEN_WS,-0.24258132763730608
N_INDEX_CDLNLCD11_PCT_WS,IND_H2O_USE_MGD_WS,-0.17943919374106598
N_INDEX_CDLNLCD11_PCT_WS,areasqkm,-0.24014044086173347
N_INDEX_CDLNLCD11_PCT_WS,U_INDEX2_CHG_2001_11_PCT_RZ,-0.12663440914012677
N_INDEX_CDLNLCD11_PCT_WS,GAP_PROT_1_2_PCT_WS,0.03354870009275501
N_INDEX_CDLNLCD11_PCT_WS,U_INDEX2_CHG_2001_11_PCT_WS,-0.11983071227881434
N_INDEX_CDLNLCD11_PCT_WS,DAM_STORAGE_RATIO,-0.40453711610369936
N_INDEX_CDLNLCD11_PCT_WS,U_INDEX_CHG_2001_11_PCT_RZ,-0.1882396181505835
N_INDEX_CDLNLCD11_PCT_WS,U_INDEX_CHG_2001_11_PCT_WS,-0.14268553590419344
N_INDEX_CDLNLCD11_PCT_WS,NFHP15_HCI_LOCAL_WS,0.029007069395165286
N_INDEX_CDLNLCD11_PCT_WS,MINET_DEN,-0.4221178460870741
N_INDEX_CDLNLCD11_PCT_WS,AG_HYDRIC_PCT_WS,-0.33703955357870435
N_INDEX_CDLNLCD11_PCT_WS,AG_H2O_USE_05_WS,-0.6343510017304292
N_INDEX_CDLNLCD11_PCT_WS,PCT_IMPERVIOUSNESS2011_MEAN_WS,-0.5016912989661375
N_INDEX_CDLNLCD11_PCT_WS,DITCH_DRAINAGE_WS_PCT,-0.32268140239800264
N_INDEX_CDLNLCD11_PCT_WS,ICLUS_IC_DIFF_PCT,-0.5609802810447589
N_INDEX_CDLNLCD11_PCT_WS,CROP_MH_URB_CDLNLCD11_PCT_RZ,-0.7438884724360232
N_INDEX2_CDLNLCD11_PCT_WS,PCT_FOREST_REMAIN,0.5390508356827078
N_INDEX2_CDLNLCD11_PCT_WS,elevation,0.30211731247746315
N_INDEX2_CDLNLCD11_PCT_WS,daylen_hr,0.2084532209165636
N_INDEX2_CDLNLCD11_PCT_WS,PCT_WETLANDS_REMAINING,0.5021727212904863
N_INDEX2_CDLNLCD11_PCT_WS,spei24,0.2165154814830083
N_INDEX2_CDLNLCD11_PCT_WS,tmin_noaa,0.16805062542375648
N_INDEX2_CDLNLCD11_PCT_WS,tmax_noaa,0.1625122629787963
N_INDEX2_CDLNLCD11_PCT_WS,N_INDEX2_CDLNLCD11_PCT_HAZ,0.20743714763002175
N_INDEX2_CDLNLCD11_PCT_WS,pmdi_noaa,0.05806537210841455
N_INDEX2_CDLNLCD11_PCT_WS,pdsi_noaa,0.06520233087400139
N_INDEX2_CDLNLCD11_PCT_WS,phdi_noaa,-0.01169683367079151
N_INDEX2_CDLNLCD11_PCT_WS,N_INDEX_CDLNLCD11_PCT_HAZ,0.09966138522368857
N_INDEX2_CDLNLCD11_PCT_WS,DASYMETRIC_POPULATION_DEN_RZ,0.12123231828142497
N_INDEX2_CDLNLCD11_PCT_WS,NRSA_AQUATIC_COND_MEAN,0.4405346932871845
N_INDEX2_CDLNLCD11_PCT_WS,latitude_dd,0.13085559615725303
N_INDEX2_CDLNLCD11_PCT_WS,DAM_DENSITY_PER_KM_STRM,0.09090710160279739
N_INDEX2_CDLNLCD11_PCT_WS,ROADS_ALL_DENSITY_2014_RZ,-0.05704550424724375
N_INDEX2_CDLNLCD11_PCT_WS,spei12,-0.030814347151132685
N_INDEX2_CDLNLCD11_PCT_WS,longitude_dd,0.0471517998955953
N_INDEX2_CDLNLCD11_PCT_WS,MEAN_WILDFIRE_RISK,0.26361924587384356
N_INDEX2_CDLNLCD11_PCT_WS,HVH_WILDFIRE_RISK_PCT,0.34742999376956146
N_INDEX2_CDLNLCD11_PCT_WS,ECOREGION2013L3_1STCODE,-0.10268085091275882
N_INDEX2_CDLNLCD11_PCT_WS,ROAD_2015_STRM_X_DENS_WS,-0.24684584208080615
N_INDEX2_CDLNLCD11_PCT_WS,capt_yr,0.04171204841404683
N_INDEX2_CDLNLCD11_PCT_WS,pcpn_noaa,-0.017793925911120077
N_INDEX2_CDLNLCD11_PCT_WS,capt_mon,-0.10499224078736667
N_INDEX2_CDLNLCD11_PCT_WS,DOM_H2O_USE_MGD_2005_WS,-0.159227387757121
N_INDEX2_CDLNLCD11_PCT_WS,DASYMETRIC_POPULATION_DEN_WS,-0.15587917234388549
N_INDEX2_CDLNLCD11_PCT_WS,IND_H2O_USE_MGD_WS,-0.12541037279577666
N_INDEX2_CDLNLCD11_PCT_WS,areasqkm,-0.07749285077344557
N_INDEX2_CDLNLCD11_PCT_WS,U_INDEX2_CHG_2001_11_PCT_RZ,-0.08703510173756893
N_INDEX2_CDLNLCD11_PCT_WS,GAP_PROT_1_2_PCT_WS,0.018366871496578275
N_INDEX2_CDLNLCD11_PCT_WS,U_INDEX2_CHG_2001_11_PCT_WS,-0.084708323790458
N_INDEX2_CDLNLCD11_PCT_WS,DAM_STORAGE_RATIO,-0.2876801120783875
N_INDEX2_CDLNLCD11_PCT_WS,U_INDEX_CHG_2001_11_PCT_RZ,-0.1444983607960555
N_INDEX2_CDLNLCD11_PCT_WS,U_INDEX_CHG_2001_11_PCT_WS,-0.11765869366329712
N_INDEX2_CDLNLCD11_PCT_WS,NFHP15_HCI_LOCAL_WS,-0.07062647462242731
N_INDEX2_CDLNLCD11_PCT_WS,MINET_DEN,-0.3008037840936439
